question	answer
 O possuidor pode constituir RPPN em áreas de posse?  	 O possuidor não pode constituir área de RPPN. As áreas de RPPN devem estar averbadas no registro de  imóveis competente, na data de ocorrência d o fato gerador, logo, a constituição de RPPN pressupõe a  titulação de propriedade do imóvel rural.   DEFINIÇÃO  
O que são áreas de interesse ecológico?  	 São áreas de interesse ecológico , desde que atendam ao disposto na legislação pertinente, as áreas assim  declaradas mediante ato do órgão competente, federal ou estadual, que sejam:   I - destinadas à proteção dos ecossistemas, e que ampliem as restrições de uso previstas para as áreas  de preservação permanente e de reserva legal; e   II - comprovadamente imprestáveis para a atividade rural.   Para efeito s de exclusão do ITR, será aceita como área de interesse ecológico apenas a área declarada  em caráter específico para determinada área da prop riedade particular. Não será aceita a área declarada  em caráter geral. Portanto, se o imóvel rural estiver dentro de área declarada em caráter geral como de  interesse ecológico, é necessário também o reconhecimento específico de órgão competente federal ou   estadual para a área da propriedade particular.   (Lei n º 9.393, de 1996, art. 10, § 1 º, inciso I I, alíneas “ b” e “c”; RITR/2002, art. 15; IN SRF n º 256, de  2002, art. 14)   CONDIÇÕES PARA EXCLUSÃO  
 Quais as condições exigidas para excluir as áreas de interesse ecológico da incidência do ITR?  	 Para exclusão das áreas de interesse ecológico da incidência do ITR é necessário que elas sejam  declaradas no ADA a ser apresentado ao Ibama  pelo contribuinte , a cada exercício, que sejam assim  declaradas mediante ato do órgão competente, federal ou estadual, e que atendam ao disposto na  legislação pertinente.   Consulte a pergunta 065    (Lei n º 6.938, de 1981, art. 17 -O, § 1 º, com a redação dada pela Lei n º 10.165, de 2000, art. 1 º;  RITR/2002, arts. 10, § 3 º, e 15; IN SRF n º 256, de 2002, arts. 9 º, § 3º, e 14)     EXIGÊNCIA DO ADA  
 É exigido o ADA para excluir as áreas de interesse ecológico da incidência do ITR?  	 Sim. Para exclusão das áreas de interesse ecológico da incidência do ITR é necessário que o contribuinte  apresente ao Ibama, a cada exercício, o ADA  em que elas estão  declaradas.     Consulte a pergunta 065    (Lei n º 6.938, de 1981, art. 17 -O, § 1 º, com a redação dada pela Lei n º 10.165, de 2000, art. 1 º;  RITR/2002, art. 10, § 3 º, inciso I ; IN SRF n º 256, de 2002, art. 9 º, § 3º, inciso I )  AVERBAÇÃO  
 Há necessidade de averbar no Cartório de Registro de Imóveis as áreas de interesse ecológico?  	 Não. As áreas de interesse ecológico não necessitam ser averbadas no registro de imóveis competente.   POSSE  
 É possível a existência de áreas de interesse ecológico em áreas de posse?  	 Sim. A existência de áreas de interesse ecológico não pressupõe a titulação de propriedade do imóvel  rural. É necessário, entretanto, em qualquer hipótese, que as áreas de intere sse ecológico sejam assim  declaradas por ato específico do órgão competente, federal ou estadual, a fim de que possam ser excluídas  da incidência do ITR.   COMO INFORMAR  
 Como informar  as áreas de servidão florestal?  	 As áreas que tenham sido instituídas na forma de servidão florestal, nos termos do art. 44 -A da Lei n º  4.771, de 15 de setembro de 1965, devem ser informadas como servidão ambiental.   (Lei nº 6.938, de 31 de agosto de 1981, art. 9 º-A, § 7 º, com a redação dada pela Lei n º 12.651, de  2012, art. 78)   DEFINIÇÃO  
 O que são áreas de servidão ambiental?  	 São áreas de servidão ambiental aquelas averbadas à margem da inscrição da matrícula do imóvel, no  Registro de Imóveis competente, nas quais o proprietário renuncia, em caráter permanente ou temporário,  total ou parcialmente, a direito de uso, exploração o u supressão de recursos naturais, localizadas fora das  áreas de preservação permanente e reserva legal.      (Lei n º 6.938, de 1981, art. 9 º-A, com a redação dada pela  Lei n º 12.651, de 2012, art. 78)   CONDIÇÕES PARA EXCLUSÃO  
 Quais as condições exigidas para excluir as áreas de servidão ambiental da incidência do ITR?  	 Para exclusão das áreas de servidão ambiental da incidência do ITR é necessário que o contribuinte  apresente ao Ibama, a cada exercício, o ADA em que elas estão declaradas, que as áreas estejam  averbadas no Registro de Imóveis competente, após anuência do órgão ambiental competente, na data de  ocorrência do fato gerador (1 º de janeiro de 2022 ), e que atendam às demai s dispos ições  da legislação  pertinente.     Consulte a pergunta 065    Lei nº 6.938, de 1981, art. 9 º-A, com a redação dada pela Lei n º 12.651, de 2012, art. 78,  e art. 17 - O, § 1º, com a redação dada pela Lei n º 10.165, de 2000, art. 1º)  EXIGÊNCIA DO ADA  
 É exigido o ADA para excluir as áreas de servidão ambiental da incidência do ITR?  	 Sim. Para exclusão das á reas de servidão ambiental da incidência do ITR é necessário que o contribuinte  apresente o ADA ao Ibama, a cada exercício.     Consulte a pergunta 065    (Lei n º 6.938, de 1981, art. 9 º-A, com a redação dada pela Lei n º 12.651, de 2012, art. 78 , e art. 17 - O, § 1 º, com a redação dada pela Lei n º 10.165, de 2000, art. 1 º)  AVERBAÇÃO  
 Há necessidade de averbar no cartório de registro de imóveis as áre as de servidão ambiental?  	 Sim. As áreas de servidão ambiental devem estar averbadas no cartório de registro de imóveis competente  na data de ocorrência do fato gerador (1 º de janeiro de 2022 ).  (Lei n º 6.938, de 1981, art. 9 º-A, com a redação dada pela  Lei nº 12.651, de 2012, art. 78)      SERVIDÃO AMBIENTAL   POSSE  
 O possuidor pode constituir servidão ambiental em áreas de posse?  	 O possuidor não pode constituir área de servidão ambiental. As áreas de servidão  ambiental devem estar  averbadas no registro de imóveis competente, na data de ocorrência do fato gerador, logo, a constituição  de servidão ambiental pressupõe a titulação de propriedade do imóvel rural.   DEFINIÇÃO  
 O que são áreas cobertas por florestas nativas?  	" São áreas cobertas por florestas nativas aquelas nas quais o proprietário protege as florestas nativas,  primárias  ou secundárias em estágio médio ou avançado de regeneração, onde o proprietário conserva a  vegetação primária – de máxima expressão local, com grande diversidade biológica, e mínimos efeitos de  ações humanas, bem como a vegetação secundária – resultante d os processos naturais de sucessão,  após supressão total ou parcial da vegetação primária por ações humanas ou causas naturais.   (Lei n º 9.393, de 1996, art. 10, § 1 º, inciso II, alínea ""e"", incluída pela  Lei n º 11.428, de 2006, art. 48;   Resolução Conama n º 10, de 1 º de outubro de 1993, art. 2 º; SCI Cosit n º 25, de 2008 , IN SRF n º  256, de 2002, art. 14 -A.)  CONDIÇÕES PARA EXCLUSÃO  "
 Quais as condições exigidas para excluir as áreas cobertas por florestas nativas da incidência do ITR?  	 Para exclusão das áreas cobertas por florestas nativas da incidência do ITR é necessário que o contribuinte  apresente o ADA ao Ibama, a cada exercício , e que atendam ao disposto na legislação pertinente.     Consulte a pergunta 065    (Lei n º 6.938, de 1981, art. 17 -O, § 1 º, com a redação dada pela Lei n º 10.165, de 2000, art. 1 º)  EXIGÊNCIA DO ADA  
 É exigido o ADA para excluir as áreas cobertas por florestas nativas da incidência do ITR?  	 Sim. Para exclusão das áreas cobertas por florestas nativas da incidência do ITR é necessário que o  contribuinte ap resente o ADA ao Ibama, a cada exercício.     Consulte a pergunta 065    (Lei n º 6.938, de 1981, art. 17 -O, § 1 º, com a redação dada pela Lei n º 10.165, de 2000, art. 1 º)     COBERTAS POR FLO RESTAS NATIVAS   AVERBAÇÃO  
 Há necessidade de averbar no cartório de registro de imóveis as áreas cobertas por florestas nativas?  	 Não. As áreas cobertas por florestas nativas não necessitam ser averbadas no registro de imóveis  competente.   POSSE  
 É possível a existência de áreas cobertas por florestas nativas em áreas de posse?  	 Sim. A existência de áreas cobertas por florestas nativas não pressupõe a titulaçã o de propriedade do  imóvel rural.   DEFINIÇÃO  
 O que são áreas alagadas para fins de constituição de reservatório de usinas hidrelétricas autorizada  pelo Poder Público?  	" São áreas inundadas para fins de constituição de reservatório de usinas hidrelétricas, correspondentes ao  nível máximo operativo normal do reservatório, autorizada pelo Poder Público.   (Lei nº 9.393, de 1996, art. 10, § 1 º, inciso II, alínea ""f"", com a redação dada pela  Lei n º 11.727, de  2008, art. 40; Lei n º 12.651, de 2012, art. 62)   CONDIÇÕES PA RA EXCLUSÃO  "
 Quais as condições exigidas para excluir as áreas alagadas para fins de constituição de reservatório de  usinas hidrelétricas autorizada pelo Poder Público?  	 Para exclusão das áreas alagadas para fins de constituição de reservatório de usin as hidrelétricas da  incidência do ITR é necessário que o contribuinte apresente o ADA ao Ibama, a cada exercício, e que  atendam ao disposto na legislação pertinente.     Consulte a pergunta 065    Retorno a o sumário   ALAGADAS DE RESERVATÓRIO DE USINAS HIDRELÉTRICAS   EXIGÊNCIA DO ADA  
 É exigido o ADA para excluir as áreas alagadas para fins de constituição de reservatório de usinas  hidrelétricas autorizada pelo Poder Público?  	 Sim. Para exclusão das áreas a lagadas para fins de constituição de reservatório de usinas hidrelétricas  autorizada pelo Poder Público da incidência do ITR é necessário que o contribuinte apresente o ADA ao  Ibama, a cada exercício.     Consulte a pergunta 065       AVERBAÇÃO  
 Há necessidade de averbar no cartório de registro de imóveis as áreas alagadas para fins de constituição  de reservatório de usinas hidrelétricas autorizada pelo Poder Público?  	 Não. As áreas alagadas para fins de constituição de reservatório de usinas hi drelétricas autorizada pelo  Poder Público não necessitam ser averbadas no registro de imóveis competente.   POSSE  
 É possível a existência de áreas alagad as para fins de constituição de reservatório de usinas hidrelétricas  autorizada pelo Poder Público em áreas de posse?  	 Sim. A existência de áreas alagadas para fins de constituição de reservatório de usinas hidrelétricas  autorizada pelo Poder Público não pr essupõe a titulação de propriedade do imóvel rural, podendo ocorrer  inclusive após a imissão prévia do expropriante. É necessário, entretanto, em qualquer hipótese, que as  áreas alagadas para fins de constituição de reservatório de usinas hidrelétricas aut orizada pelo Poder  Público atendam ao previsto na legislação pertinente, a fim de que possam ser excluídas da incidência do  ITR.  COMPOSIÇÃO  
 Como se compõe a área tributável do imóvel rural?  	 Área tributável é composta pela área total do imóvel, excluídas as áreas:   I - de preservação permanente;   II - de reserva legal;   III - de Reserva Particular do Patrimônio Natural (RPPN);   IV - de interesse ecológico, assim declaradas mediante ato do ó rgão competente, federal ou estadual, que  sejam:   a) destinadas à proteção dos ecossistemas e que ampliem as restrições de uso previstas para as áreas de  preservação permanente e de reserva legal; e   b) comprovadamente imprestáveis para qualquer exploração a grícola, pecuária, granjeira, aquícola ou  florestal .  V - de servidão ambiental;   VI - cobertas por florestas nativas, primárias ou secundárias em estágio médio ou avançado de  regeneração , localizadas em qualquer bioma brasileiro ;  VII - alagadas para fins de  constituição de reservatório de usinas hidrelétricas autorizada pelo Poder  Público.   Atenção:   As áreas que tenham sido instituídas na forma de servidão florestal, nos termos do art. 44 -A da Lei  nº 4.771, de 1965, passam a ser consideradas como de servidão ambiental.      A área tributável deve referir -se à situação existente no dia 1 º de janeiro do ano de ocorrência do  fato gerador do ITR .  (Lei nº 6.938, de 1981, art. 9 º-A, § 7 º, com a redação dada pela Lei n º 12.651, de 2012, art. 78 , Lei  nº 9.393 , de 1996, art. 10, § 1º; RITR/2002, art. 10 )     Consulte a pergunta 065    (Lei nº 6.938, de 1981, art. 9 º-A, com a redação dada pela Lei n º 12.651, de 2012, art. 78 ; Lei n º  9.393, de 1996, art. 10, § 1 º, inciso II, com a redação dada pela Lei n º 11.428, de 2006, e pela Lei n º  11.727, de 23 de junho de 2008; Lei n º 9.985, 2000, art. 21; Lei n º 12.651, de 2012, arts. 4 º, 6º, 12,  79 e 80; Decret o nº 1.922, de 1996 , art. 11, c/c o  Decreto n º 5.746, de 2006, art. 8 º; RITR/ 2002, art.  10; IN SRF n º 256, de 2002, art. 9 º) 
 Como declarar um imóvel cuja área possa ser utilizada para atividades agropecuárias ou extrativas  somente durante alguns meses do ano, devido a inundações sistemáticas (caso comum no Pantanal)?  	 Os imóveis que sofrem inundações sistemáticas, como os situ ados no Pantanal, devem ser declarados  normalmente. Es sas áreas têm tratamento diferenciado no que concerne à aplicação dos índices de  lotação por zona de pecuária e dos índices de rendimento por produto objeto de exploração extrativa.   (IN SRF n º 256, de 2 002, anexos I e II)   COMPOSIÇÃO  
 Como é constituída a área aproveitável do imóvel?  	 A área aproveitável do imóvel rural é constituída pelas áreas:   I - utilizadas pela atividade rural; e   II - não utilizadas pela atividade rural.  
 Quais parcelas do imóvel rural devem ser informadas na DITR como área aproveitável?  	 Considera -se área aproveitável a que for passível de exploração  agrícola, pecuária, granjeira, aquícola ou  florestal. É a área total do imóvel, excluídas:   I - as áreas não tributáveis; e   II - as áreas ocupadas com benfeitorias úteis e necessárias desti nadas à atividade rural.   Saliente -se que as áreas ocupadas com benfeitorias, construções e instalações empregadas diretamente  na exploração de atividade granjeira ou aquícola não são excluídas da área aproveitável, por serem  consideradas áreas utilizadas pela atividade rural.   (Lei n º 9.393, de 1996, art. 10, § 1 º, inciso IV; RITR/2002, art. 16; IN SRF n º 256, de 2002, art. 15)      BENFEITORIAS ÚTEIS E NECESSÁRIAS DESTINADAS À ATIVIDADE RURAL  
 Que áreas podem ser informadas, na DITR, como ocupadas por benfeitorias úteis e necessárias  destinadas à atividade rural?  	 Podem ser declaradas como ocupadas por benfeitorias úteis e necessárias destinadas à atividade rural as  áreas com:   I - casas de mor adia, galpões para armazenamento, banheiros para gado, valas, silos, currais, açudes   (sem exploração aquícola)  e estradas internas de acesso;   II - edificações e instalações destinadas a atividades educacionais, recreativas e de assistência à saúde  dos trab alhadores rurais;   III - instalações de beneficiamento ou transformação da produção agropecuária e de seu armazenamento;  e  IV - outras instalações que se destinem a aumentar ou facilitar o uso do imóvel rural, bem assim a conservá - lo ou evitar que ele se de teriore.   (CC, art. 96; RITR/2002, art. 17; IN SRF n º 256, de 2002, art. 16)  
 As áreas correspondentes a estradas internas ou vias particulares podem ser excluídas da área  aproveitável do imóvel?  	 Sim. As áreas correspondentes a estradas internas do imóvel rural e a estradas particulares que o  atravessam (passagem forçada) são con sideradas benfeitorias úteis e necessárias destinadas à atividade  rural, podendo, assim, ser excluídas da área aproveitável do imóvel.  
 Quais as áreas construídas ou edificad as que não podem ser excluídas da área aproveitável do imóvel?  	 Não podem ser excluídas da área aproveitável do imóvel as áreas ocupadas com:   I - construções, instalações e benfeitorias destinadas ou empregadas, diretamente, na atividade granjeira  e aquícol a, que são consideradas utilizadas; e   II - edificações, construções, instalações e benfeitorias não destinadas à atividade rural.   Consulte a pergunta 119    (Lei n º 9.393, de 1996, art. 10, § 1 º, inciso V, alínea “ d”; RITR/2002, arts.  18, inciso I V, e 29 , inciso I ;  IN SRF n º 256, de 2002, arts. 15, parágrafo único, e 30 , inciso I ) 
 Benfeitorias e construções significam a mesma coisa, para a legislação do ITR?  	 Benfeitorias e construções, para efeito s do ITR, significam a mesma coisa. A expressão benfeitoria tem  sentido amplo, compreendendo não só as benfeitorias propriamente ditas como também as construções.  
 As áreas com benfeitorias não destinadas à atividade rural são áreas aproveitáveis do imóvel?  	 Sim. São áreas aproveitáveis e são consideradas não utilizadas pela atividade rural.      Deve -se ressaltar que as áreas ocupadas com edificações e instalações destinadas a atividades  educacionais, recreativas e de assistência à saúde dos trabalhadores rurais são consideradas  áreas  ocupadas por benfeitorias úteis e necessárias destinadas à atividade rural.   DEFINIÇÃO  
 O que se entende por área utilizada pela atividade rural?  	 Área efetivamente utilizada pela a tividade rural é a porção da área aproveitável do imóvel que, no ano  anterior ao de ocorrência do fato gerador do ITR, tenha:   I - sido plantada com produtos vegetais, inclusive com reflorestamentos de essências exóticas ou nativas  destinadas ao corte, ou p ermanecido em descanso para a recuperação do solo, desde que por  recomendação técnica expressa de profissional legalmente habilitado, constante de laudo técnico;   II - servido de pastagem, nativa ou plantada, observados, quando aplicáveis, os índices de lot ação por  zona de pecuária, ou sido ocupada com pastagens ainda em formação;   III - sido objeto de exploração extrativa, observados, quando aplicáveis, os índices de rendimento por  produto e a legislação ambiental;   IV - servido para a exploração de atividade  granjeira ou aquícola;   V - sido objeto de implantação de projeto técnico, nos termos do art. 7 º da Lei n º 8.629, de 25 de fevereiro  de 1993, desde que atendidas as condições previstas na legislação;   VI - comprovadamente se  situado em área de ocorrência de  calamidade pública, decretada pelo Poder  Público local no ano anterior ao de ocorrência do fato gerador do ITR e reconhecida pelo Governo Federal,  da qual tenha resultado frustração de safras ou destruição de pastagens; e   VII - sido oficialmente destinada  à execução de atividades de pesquisa e experimentação que objetivem o  avanço tecnológico da agricultura.     (Lei n º 9.393, de 1996, art. 10, § 1 º, inciso V , e § 6 º; RITR/2002, art. 18; IN SRF n º 256, de 2002,  arts. 17 e 18)  
 As áreas utilizadas do imóvel rural devem se referir a que época do ano, para efeito s de apuração do  ITR?  	 Para apuração do ITR, as áreas utilizadas do imóvel rural devem levar em con ta os dados relativos à  utilização no ano anterior ao de ocorrência do fato gerador.  
 Como fazer a distribuição das áreas utilizadas no ano anterior ao de ocorrência do fa to gerador, no caso  de aquisição de imóvel ou anexação de área entre 1 º de janeiro do ano a que se referir a DITR e a data da sua  efetiva apresentação?  	 O adquirente deve informar na declaração os dados relativos à efetiva utilização da área adquirida, no a no  anterior ao de ocorrência do fato gerador, caso esta ainda não haja sido declarada pelo alienante.   Se o adquirente não tem conhecimento dos dados, deverá obtê -los com o alienante; se não for possível,  deverá declarar de acordo com os elementos auferidos  ou colhidos nas inspeções ou diligências que  efetuou no imóvel ou área em questão.    
 As áreas do imóvel exploradas por contrato de arrendamento, comodato ou parceria podem ser  declaradas como utilizadas?  	 Sim. O contribuinte poderá valer -se dos dados sobre a área utilizada e respectiva produção, fornecidos  pelo arrendatário, comodatário ou parceiro, quando o imóvel, ou parte dele, estiver sendo explorado por  contrato de arrendamento, comodato ou parceria. As áreas exploradas por meio de tais contratos deverão  ser declaradas conforme a sua efetiva utilização no ano anterior ao de ocorrênci a do fato gerador do ITR.   (Lei n º 9.393, de 1996, art. 10, § 4 º; RITR/2002, art. 19; IN SRF n º 256, de 2002, art. 19)   DEFINIÇÃO  
 O que é área plantada com produtos vegetais?  	 Área plantada com produtos vegetais é a porção do imóvel explorada com culturas temporárias ou  permanentes, inclusive com reflorestamentos de essências exóticas ou nativas, destinadas a consumo  próprio ou com ércio, bem assim a efetivamente utilizada com a produção de forrageira de corte destinada  à alimentação de animais de outro imóvel rural.   Consulte a pergunta 130    (RITR/2002, art. 23; IN SRF n º 256, de 2002, art. 23)   MOMENTO EM QUE É CONSIDERADA PLANTADA  
 A área do imóvel rural pode ser considerada plantada no momento do lançamento da semente ao solo  ou da colocação da muda na cova, mesmo que a  semente não germine ou a muda não cresça?  	 A plantação é considerada no momento do plantio da semente ou da muda. O fato de a semente ou de a  muda não terem se desenvolvido não significa que a área não tenha sido efetivamente utilizada, pois a  frustração d e safra independe do estágio de desenvolvimento da cultura.   ÁREA EM DESCANSO  
 Como declarar a área do imóvel rural em descanso?  	 A área do imóvel rural em descanso pa ra a recuperação do solo pode ser declarada como área utilizada  desde que exista laudo técnico de que conste expressamente recomendação para que aquela área  específica seja mantida em descanso, ou submetida a processo de recuperação. Não existindo  recomend ação técnica escrita, firmada por profissional legalmente habilitado, qualquer área aproveitável  do imóvel mantida em descanso, ou submetida a processo de recuperação, será considerada área não  utilizada.   (IN SRF n º 256, de 2002, art. 18 , inciso I II)     ÁREA PLANTADA COM PRODUTOS VEGETAIS   FORRAGEIRA DE CORTE - COMERCIALIZAÇÃO  
 Como deve ser informada a área efetivamente utilizada com a produção de forrageira de corte para  comercialização?  	 A área efetivamente utilizada com a produção de forrageira de corte para comercialização deve ser  informada como área plantada com produtos  vegetais.   VÁRIAS SAFRAS  
 Como será calculada a área utilizada pela atividade rural com produtos vegetais no caso de cultivo de  várias safras, do mesmo ou de diversos produtos, na mesma área do imóvel, durante o mesmo ano civil?  	 No caso de mais de um cultivo no ano, com um ou ma is produtos, na mesma área, considera -se  efetivamente utilizada a maior área cultivada no ano considerado.   (Lei n º 8.629, de 1993, art. 6 º, § 5º; RITR/2002, art. 22; IN SRF n º 256, de 2002, art. 22)   CONSÓRCIO OU INTERCALAÇÃO DE CULTURAS  
 Como será calculada a área utilizada com produtos vegetais havendo consórcio ou intercalação de  culturas?  	 Para cálculo da área utilizada pela atividade rural, no caso de consórcio ou intercalação de culturas,  considera -se efetivamente utilizada a área total do consórcio ou intercalação.   (Lei n º 8.629, de 1993, art. 6 º, § 4 º; RITR/2002, art. 21; IN SRF n º 256, de 2002, art. 21)   FLORESTAS PLANTADAS  
 Como devem ser informadas as áreas de florestas plantadas no imóvel rural, destinadas ao corte?  	 As florestas plantadas no imóvel rural, destinadas ao corte, devem ser informadas como área de  reflorestamento.   ESSÊNCIAS EXÓTICAS - DEFINIÇÃO  
 O que são essências exóticas, para efeito s do ITR?  	 Consideram -se essências exóticas, para efeito s do ITR, as espécies florestais originárias de região  fitogeográfica diversa daquela em que se localiza o imóvel rural.   Exemplo: a espécie florestal mogno, que tem como região fitogeográfica o norte do Brasil (considerada  espécie nativa nessa região), quando utilizada no reflorestamento de imóvel rural situado no sul do País,  constitui espécie exótica, pois não é originária desta região fitogeográfica.      ÁREA DE REFLORESTAMENTO   ESSÊNCIAS EXÓTICAS - FINS COMERCIAIS  
 Como devem ser informadas as áreas pl antadas com essências exóticas (acácia negra, eucalipto, pinus)  para fins industriais ou comerciais?  	 As áreas cultivadas com espécies arbóreas exóticas, destinadas ao corte, devem ser informadas como  área de reflorestamento.   ESSÊNCIAS NATIVAS - DEFINIÇÃO  
 O que são essências nativas, para efeito s do ITR?  	 Consideram -se essências nativas, para efeito s do ITR, as espécies florestais originárias da região  fitogeográfica em que se localiza o imóvel rural.   Exemplo: a espécie florestal araucária (pinheiro brasileiro), cuja região fitogeográfica é o sul do Brasil,  quando utilizada no reflorestamento de imóve l rural situado no sul do País, constitui espécie nativa, pois é  originária des sa região fitogeográfica.   ESSÊNCIAS NATIVAS - FINS COMERCIAIS  
 Como devem ser informadas as áreas plantadas com essências nativas para fins industriais ou  comerciais?  	 As áreas cultivadas com espécies arbóreas nativas devem ser informadas como área de reflorestamento.   DEFINIÇÃ O 
 O que é área utilizada com pastagem?  	 Área utilizada com pastagem é aquela ocupada por pastos naturais, melhorados ou plantados, por  forrageiras de corte que tenha, efetivamente, sido usada para alimentação de animais de grande e médio  porte do mesm o imóvel, observados, se aplicáveis, os índices de lotação por zona de pecuária,  estabelecidos de acordo com o município de localização do imóvel, e por pastagem em formação.   Consulte a pergunta 143    (Lei n º 9.393, de 1996, art. 10,  § 1º, inciso V, alínea “ b”; RITR/2002, arts. 18 , inciso I I, e 24; IN SRF  nº 256, de 2002, arts. 17 , inciso I I, e 24)   ÍNDICE DE LOTAÇÃO - CONCEITO  
 O que é índice de lotação por zona de pecuária?  	 O índice de lotação por zona de pecuária é o número mínimo de cabeças que devem ser mantidas em  determinada área de pastagem, calculado pela relação entre a quantidade média do rebanho dividida pela  área n ecessária para sua alimentação (pasto, capineira, silagem ou feno) em determinada região do País.   Exemplo: Em um imóvel rural cujo índice de lotação seja de 1,20, para cada hectare de área de pastagem  o produtor tem possibilidade de alimentar 1,20 animal d urante o ano. Se o produtor possui uma quantidade     média de 1.200 animais durante o ano, necessita de 1.000 hectares para alimentá -los. Caso o produtor  declare que utiliza 2.000 hectares para is so, conclui -se que es sa área está sendo subutilizada, ou seja, a  quantidade média de animais mantida naquela área de 2.000 hectares é muito menor do que aquela que  a área seria capaz de alimentar.   ÍNDICE DE LOTAÇÃO - UTILIZAÇÃO  
 Para qu e serve o índice de lotação por zona de pecuária?  	 O índice de lotação por zona de pecuária serve para medir a eficiência na exploração da atividade pecuária.  Ele permite estabelecer o número mínimo de cabeças que deve ser mantido em determinada área a fim  de que ela não seja considerada subutilizada . O ín dice, por esse motivo, varia significativamente conforme  as características da região a que se refere (características climáticas, de solo etc).   Exemplo: Um índice de lotação de 1,20 indica que em cada hectare de área de pastagem o produtor tem  possibilida de de alimentar no mínimo 1,20 animal durante o ano. Evidentemente, as características da  região em que se localiza o imóvel cujo índice seja de 1,20 fazem com que ela tenha a produtividade muito  superior à de uma região em que o índice seja, por exemplo, de 0,35. A produtividade, na primeira área,  somente será considerada satisfatória se existir uma quantidade média de pelo menos 120 cabeças  durante o ano para cada 100 hectares. Diversamente, a segunda área será considerada satisfatoriamente  produtiva com apenas 35 cabeças durante o ano para cada 100 hectares. Resumidamente, quanto menor  o índice, maior será a área teoricamente necessária para garantir a alimentação do mesmo número de  animais, ou seja, quanto menor o índice, menor a produtividade potencial do imóvel.   ÍNDICE DE LOTAÇÃO - DISPENSA  
 Quais os imóveis dispensados de aplicação do índice de lotação por zona de pecuária?  	 Estão dispensados da aplicação do índice de lot ação por zona de pecuária os imóveis rurais com área  inferior a:   a) 1000ha (mil hectares), se localizados em municípios compreendidos na Amazônia Ocidental ou no  Pantanal mato -grossense e sul -mato -grossense;   b) 500ha (quinhentos hectares), se localizados e m municípios compreendidos no Polígono das Secas ou  na Amazônia Oriental;   c) 200ha (duzentos hectares), se localizados em qualquer outro município.   Os imóveis sujeitos à aplicação de índice de lotação por zona de pecuária podem ter áreas dispensadas  da apl icação desse índice, quando estas foram objeto de implantação de projeto técnico, permaneceram  em descanso por recomendação técnica ou estavam ainda em formação.   Consulte as perguntas : 223, 224, 225 e 226    (Lei n º 9.393, de 1996, art. 10, § 3 º; RITR/2002, arts. 18 , inciso V , e 24, parágrafo único; IN SRF n º  256, de 2002, arts. 17 , inciso V , 18, incisos III e IV, e 24, § 3 º)     ÁREA UTILIZADA COM PASTAGEM   CÁLCULO DO GU - SUJEITA A ÍNDICE  
 Qual a área que se considera utilizada com pastagem, para cálculo do grau de utilização de imóvel  sujeito a índice de lotação?  	 Para fins d e cálculo do grau de utilização do imóvel rural sujeito a índice de lotação, considera -se área  utilizada com pastagem a menor entre a efetivamente usada pelo contribuinte e a obtida pelo quociente  entre a quantidade de cabeças do rebanho ajustada e o índic e de lotação por zona de pecuária.   (RITR/2002, art. 25; IN SRF n º 256, de 2002, art. 25)   CÁLCULO DO GU - NÃO SUJEITA A ÍNDICE  
 Estando o imóvel dispensado da aplicação de índices, qual a área que se considera utilizada com  pastagem, para cálculo do grau de utilização?  	 Caso o imóvel rural esteja dispensado da aplicação de índices de lotação por zona de pecuária considera - se área  utilizada com pastagem a área efetivamente usada pelo contribuinte para tais fins.   (Lei n º 8.629, de 1993, art. 6 º, § 6 º; RITR/2002, art. 26; IN SRF n º 256, de 2002, art. 25, § 2 º)  ÍNDICES A SEREM UTILIZADOS  
 Quais são os índices de lotação por zona de pecuária a serem utilizados?  	 Aplicam -se, até ulterior ato em contrário, os índices constantes no Anexo I da Instrução Normativa SRF n º  256, de 11 de dezembro de 2002.   (IN SRF n º 256, de 2002, art. 24, § 2 º)  QUANTIDADE DE REBANHO AJUSTADA  
 Como se obtém a quantidade de cabeças do rebanho ajustada?  	 A quantidade de cabeças do rebanho ajustada é obtida pela soma da quantidade média de cabeças de  animais de grande porte e da quarta parte da quantidade média d e cabeças de animais de médio porte  existentes no imóvel.   Procedimento:   Primeiro => classificar e contar os animais do rebanho em duas categorias:   I - grande porte: bovino, bufalino, equino, asinino e muar, dentre outros, de qualquer idade e sexo;   II - médio porte: ovino e caprino, dentre outros, de qualquer idade e sexo.   Segundo => determinar a quantidade média de cabeças de animais por categoria (média anual). A  quantidade média de cabeças de animais é o somatório da quantidade de cabeças existente a c ada mês  do ano, por categoria, dividido sempre por 12 (doze), independentemente do número de meses em que  tenham existido animais no imóvel.   Terceiro => determinar a quantidade de cabeças do rebanho ajustada por categoria:   I - grande porte: é o resultado d a multiplicação da quantidade média de cabeças de animais de grande  porte pelo fator 1,0 (um inteiro);      II - médio porte: é o resultado da multiplicação da quantidade média de cabeças de animais de médio porte  pelo fator 0,25 (vinte e cinco centésimos).   Quarto => somar as quantidades de cabeças do rebanho ajustadas de animais de grande e médio porte.   (RITR/2002, art. 25, parágrafo único; IN SRF n º 256, de 2002, art. 25, caput , inciso I I e §§ 1 º e 2º)  PASTAGEM EM FORMAÇÃO  
